Nr.;#;Company;Location_HQ;Country;Continent;Laid_Off;Date_layoffs;Percentage;Company_Size_before_Layoffs;Company_Size_after_layoffs;Industry;Stage;Money_Raised_in_$_mil;Year;lat;lng
36;153;C2FO;Kansas City;USA;North America;80.0;2023-10-16;3.0;2667.0;2587.0;Finance;Series H;$537;2023;39.09973;-94.57857
37;162;Lending Club;San Francisco Bay Area;USA;North America;172.0;2023-10-12;14.0;1229.0;1057.0;Finance;Post-IPO;$392;2023;37.77493;-122.41942
38;163;MariaDB;San Francisco Bay Area;USA;North America;84.0;2023-10-12;28.0;300.0;216.0;Data;Post-IPO;$272;2023;37.48522;-122.23635
39;164;Deepgram;San Francisco Bay Area;USA;North America;20.0;2023-10-11;20.0;100.0;80.0;AI;Series B;$86;2023;37.77493;-122.41942
40;167;Carbon Health;San Francisco Bay Area;USA;North America;114.0;2023-10-09;5.0;2280.0;2166.0;Healthcare;Series D;$522;2023;37.77493;-122.41942
41;172;InvestCloud;Los Angeles;USA;North America;80.0;2023-10-06;5.0;1600.0;1520.0;Finance;Private Equity …;$54;2023;34.05223;-118.24368
42;179;SchoolMint;San Francisco Bay Area;USA;North America;29.0;2023-10-05;14.0;207.0;178.0;Education;Acquired;$8;2023;37.77493;-122.41942
43;181;Arrival;London;United Kingdom;Europe;200.0;2023-10-05;25.0;800.0;600.0;Transportation;Post-IPO;$629;2023;51.50853;-0.12574
44;183;Qualtrics;Salt Lake City;USA;North America;780.0;2023-10-04;14.0;5571.0;4791.0;Other;Post-IPO;$400;2023;40.76078;-111.89105
45;184;Hopper;Montreal;Canada;North America;250.0;2023-10-04;30.0;833.0;583.0;Travel;Unknown;$730;2023;45.50884;-73.58781
46;191;Chainalysis;New York City;USA;North America;150.0;2023-10-02;15.0;1000.0;850.0;Crypto;Series F;$536;2023;40.71427;-74.00597
47;192;Synapse;San Francisco Bay Area;USA;North America;86.0;2023-10-02;40.0;215.0;129.0;Finance;Series B;$50;2023;37.77493;-122.41942
48;193;Chia Network;San Francisco Bay Area;USA;North America;26.0;2023-10-02;37.0;70.0;44.0;Crypto;Series D;$70;2023;37.77493;-122.41942
49;196;Cowbell;San Francisco Bay Area;USA;North America;28.0;2023-09-29;12.0;233.0;205.0;Finance;Series B;$123;2023;37.66243;-121.87468
50;200;Epic Games;Raleigh;USA;North America;870.0;2023-09-28;16.0;5438.0;4568.0;Consumer;Unknown;;2023;35.7721;-78.63861
51;205;Fi.Money;Bengaluru;India;Asia;30.0;2023-09-27;10.0;300.0;270.0;Finance;Series C;$137;2023;12.97194;77.59369
52;206;Dunzo;Bengaluru;India;Asia;150.0;2023-09-26;30.0;500.0;350.0;Food;Unknown;$458;2023;12.97194;77.59369
53;207;Flexe;Seattle;USA;North America;131.0;2023-09-26;33.0;397.0;266.0;Logistics;Series D;$263;2023;47.60621;-122.33207
54;209;Lucid Software;Salt Lake City;USA;North America;75.0;2023-09-25;7.0;1071.0;996.0;Other;Series E;$170;2023;40.76078;-111.89105
55;225;7shifts;Saskatoon;Canada;North America;30.0;2023-09-15;7.0;429.0;399.0;Food;Series C;$131;2023;52.13238;-106.66892
56;227;Airtable;San Francisco Bay Area;USA;North America;237.0;2023-09-14;27.0;878.0;641.0;Product;Series F;$1400;2023;37.77493;-122.41942
57;229;VideoAmp;Los Angeles;USA;North America;40.0;2023-09-14;10.0;400.0;360.0;Marketing;Series F;$456;2023;34.05223;-118.24368
58;233;Evolve;Denver;USA;North America;175.0;2023-09-12;20.0;875.0;700.0;Travel;Series F;$224;2023;39.73915;-104.9847
59;235;Paper;Montreal;Canada;North America;87.0;2023-09-12;3.0;2900.0;2813.0;Education;Series D;$389;2023;45.50884;-73.58781
60;236;Homeday;Berlin;Germany;Europe;40.0;2023-09-12;20.0;200.0;160.0;Real Estate;Unknown;$71;2023;52.52437;13.41053
61;237;At-Bay;San Francisco Bay Area;USA;North America;27.0;2023-09-12;9.0;300.0;273.0;Security;Unknown;$296;2023;37.77493;-122.41942
62;239;Chargebee;San Francisco Bay Area;USA;North America;100.0;2023-09-11;10.0;1000.0;900.0;Finance;Series H;$468;2023;37.77493;-122.41942
63;241;Grabango;San Francisco Bay Area;USA;North America;34.0;2023-09-11;40.0;85.0;51.0;Food;Unknown;$94;2023;37.87159;-122.27275
64;247;Drift;Boston;USA;North America;100.0;2023-09-07;25.0;400.0;300.0;Marketing;Acquired;$107;2023;42.35843;-71.05977
65;249;Roku;San Francisco Bay Area;USA;North America;360.0;2023-09-06;10.0;3600.0;3240.0;Media;Post-IPO;$208;2023;37.33939;-121.89496
66;255;Absci;Portland;USA;North America;30.0;2023-09-05;15.0;200.0;170.0;Healthcare;Post-IPO;$238;2023;45.52345;-122.67621
67;256;Hodinkee;New York City;USA;North America;24.0;2023-09-05;20.0;120.0;96.0;Retail;Seed;$40;2023;40.71427;-74.00597
68;260;Nexar;New York City;USA;North America;17.0;2023-09-04;14.0;121.0;104.0;Transportation;Series D;$149;2023;40.71427;-74.00597
69;270;Omuni;Bengaluru;India;Asia;60.0;2023-08-30;35.0;171.0;111.0;Retail;Acquired;$10;2023;12.97194;77.59369
70;271;Kenko Health;Mumbai;India;Asia;50.0;2023-08-30;20.0;250.0;200.0;Healthcare;Series A;$14;2023;19.07283;72.88261
71;272;Huma;London;United Kingdom;Europe;45.0;2023-08-30;10.0;450.0;405.0;Healthcare;Unknown;$217;2023;51.50853;-0.12574
72;273;Zeplin;San Francisco Bay Area;USA;North America;37.0;2023-08-30;35.0;106.0;69.0;Product;Seed;$1;2023;37.77493;-122.41942
73;274;Kenko Health;Mumbai;India;Asia;50.0;2023-08-29;20.0;250.0;200.0;Healthcare;Unknown;$14;2023;19.07283;72.88261
